               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10346,            0.030062,            0.023912,           0.0012315,               0.375,            0.001329,          0.00071962,            0.039164,            0.022144,            0.011334,              0.0973,              0.0003,              0.0003
                   1,            0.082048,            0.028864,             0.01917,           0.0016268,                 0.5,           0.0018834,          0.00098537,            0.037796,            0.020054,            0.011121,            0.093677,           0.0006769,           0.0006769
                   2,            0.070855,            0.032097,            0.018547,           0.0014837,                 0.5,           0.0043092,           0.0015611,            0.033106,            0.017893,            0.010608,            0.090027,           0.0010274,           0.0010274
                   3,            0.053486,             0.03134,            0.017899,           0.0034163,                   1,            0.024979,            0.010796,            0.017463,            0.017812,            0.009967,            0.086351,           0.0013515,           0.0013515
                   4,             0.04979,            0.030971,            0.017724,           0.0034136,                   1,             0.12954,            0.052058,            0.014395,            0.016877,           0.0095825,            0.082649,           0.0016492,           0.0016492
                   5,            0.048313,            0.032054,            0.017344,           0.0034016,                   1,             0.39242,             0.20612,            0.013586,            0.015622,            0.009198,            0.078921,           0.0019205,           0.0019205
                   6,            0.057461,            0.031254,            0.019123,            0.035317,                   1,             0.51566,             0.32557,            0.012275,             0.01475,           0.0088745,            0.075165,           0.0021654,           0.0021654
                   7,            0.053212,             0.02958,             0.02172,             0.12012,               0.875,             0.53026,              0.3949,            0.013353,            0.013669,             0.00896,            0.071384,           0.0023839,           0.0023839
                   8,             0.04233,            0.027605,            0.016581,             0.45692,             0.52628,             0.59405,             0.47257,            0.017167,            0.012626,           0.0088684,            0.067576,            0.002576,            0.002576
                   9,            0.037555,            0.028799,            0.015757,             0.22196,             0.40186,             0.47827,              0.3542,            0.012789,            0.012387,           0.0088989,            0.063742,           0.0027417,           0.0027417
                  10,            0.037584,             0.02472,            0.016224,             0.45255,                 0.5,             0.63167,             0.45675,            0.013286,            0.012158,           0.0087952,            0.059881,            0.002881,            0.002881
                  11,            0.035221,            0.024943,            0.016467,             0.89307,                 0.5,             0.57583,             0.47107,            0.021809,            0.011997,            0.008728,            0.055994,           0.0029939,           0.0029939
                  12,            0.038106,            0.022021,            0.015085,             0.92885,                0.25,             0.47162,             0.31656,            0.016694,            0.011453,           0.0092712,             0.05208,           0.0030804,           0.0030804
                  13,            0.042626,            0.022539,            0.017607,             0.82709,                0.25,             0.45838,             0.29268,             0.01657,            0.010927,           0.0096191,            0.048141,           0.0031405,           0.0031405
                  14,            0.046304,            0.021252,            0.019016,             0.20797,                0.75,             0.52444,             0.31606,            0.015281,           0.0094943,           0.0093445,            0.044174,           0.0031742,           0.0031742
                  15,            0.033228,             0.02228,            0.015525,             0.26767,             0.94298,             0.49785,             0.36674,             0.01885,           0.0086672,           0.0091309,            0.040182,           0.0031815,           0.0031815
                  16,            0.030905,             0.01997,            0.014972,             0.37416,             0.86599,                 0.6,             0.46931,           0.0099578,           0.0083747,           0.0086853,            0.036162,           0.0031624,           0.0031624
                  17,            0.057867,            0.020849,            0.021544,             0.24316,             0.71028,             0.52677,             0.43094,            0.017777,           0.0076332,           0.0077209,            0.032117,           0.0031169,           0.0031169
                  18,            0.036224,            0.020044,            0.014289,             0.85405,               0.375,              0.5852,             0.40901,             0.01455,           0.0075037,           0.0075928,            0.028045,            0.003045,            0.003045
                  19,             0.03187,            0.017726,            0.013594,             0.97776,                 0.5,             0.69881,             0.56959,            0.014047,           0.0074222,           0.0079102,            0.023947,           0.0029467,           0.0029467
                  20,            0.042259,            0.019944,            0.019183,             0.30512,                0.75,              0.6581,             0.45959,            0.013374,           0.0070813,           0.0085999,            0.019822,            0.002822,            0.002822
                  21,            0.031562,            0.018572,            0.013861,             0.69992,                0.75,                0.82,             0.59222,            0.012392,           0.0069695,           0.0086121,            0.015671,           0.0026709,           0.0026709
                  22,            0.029407,            0.017612,            0.013749,             0.34226,               0.625,             0.65228,             0.44724,            0.012539,           0.0068417,           0.0084778,            0.011493,           0.0024934,           0.0024934
                  23,             0.03119,            0.016181,            0.012897,             0.52111,               0.625,             0.75333,             0.56882,            0.011661,           0.0064416,           0.0083252,           0.0072895,           0.0022895,           0.0022895
                  24,            0.027519,            0.018535,             0.01393,             0.50433,                0.75,             0.75333,             0.55497,            0.010005,           0.0060608,           0.0082092,           0.0030592,           0.0020592,           0.0020592
                  25,            0.028274,             0.01759,            0.013104,             0.73046,             0.74385,             0.73111,             0.61102,            0.011364,           0.0059037,           0.0081421,             0.00175,             0.00175,             0.00175
                  26,             0.02699,            0.016467,             0.01138,              0.6781,               0.625,                0.72,             0.53744,           0.0099482,           0.0058112,           0.0078186,             0.00175,             0.00175,             0.00175
                  27,            0.026001,            0.017445,            0.013001,             0.76344,                0.75,             0.81286,             0.67385,           0.0089657,           0.0056756,           0.0077759,             0.00142,             0.00142,             0.00142
                  28,            0.025555,            0.016208,            0.012891,             0.77003,             0.73232,             0.76583,               0.464,           0.0085849,           0.0056522,           0.0075623,             0.00109,             0.00109,             0.00109
                  29,             0.02378,            0.015991,             0.01149,              0.7673,                0.75,              0.8075,             0.55581,           0.0072102,           0.0056062,            0.007428,             0.00076,             0.00076,             0.00076
